#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row,L min,L max,Firms in absolute numbers,Recipe,K min,K max,Cost of capital,Wage
19,Machinery and equipment n.e.c.,C,250 persons employed or more,1.4640738710932497e-06,0.12512411703268533,1.0,250,1750,31.962736923095168,111.82338210096216,27955.84552524054,195690.9186766838,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,I,From 0 to 9 persons employed,0.002136124320311273,0.12512411703268533,1.0,0,9,46634.51826658959,111.82338210096216,111.82338210096216,1006.4104389086594,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,I,From 10 to 19 persons employed,0.0003795838266626538,0.12512411703268533,1.0,10,19,8286.834586304434,111.82338210096216,1118.2338210096216,2124.644259918281,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,I,From 20 to 49 persons employed,0.00023503322007416448,0.12512411703268533,1.0,20,49,5131.096954697292,111.82338210096216,2236.467642019243,5479.345722947146,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,I,From 50 to 249 persons employed,0.00011236811312921042,0.12512411703268533,1.0,50,249,2453.1497415575373,111.82338210096216,5591.169105048109,27844.02214313958,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,I,250 persons employed or more,3.75235397138642e-05,0.12512411703268533,1.0,250,1750,819.1902416795236,111.82338210096216,27955.84552524054,195690.9186766838,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,Int,From 0 to 9 persons employed,0.002518479588134821,0.12512411703268533,1.0,0,9,54981.857207539295,111.82338210096216,111.82338210096216,1006.4104389086594,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,Int,From 10 to 19 persons employed,0.00044752737953786167,0.12512411703268533,1.0,10,19,9770.135360294107,111.82338210096216,1118.2338210096216,2124.644259918281,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,Int,From 20 to 49 persons employed,0.0002771029577548782,0.12512411703268533,1.0,20,49,6049.536921738158,111.82338210096216,2236.467642019243,5479.345722947146,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,Int,From 50 to 249 persons employed,0.00013248142750039147,0.12512411703268533,1.0,50,249,2892.250929407794,111.82338210096216,5591.169105048109,27844.02214313958,0.15,42663.13644651836
19,Machinery and equipment n.e.c.,Int,250 persons employed or more,4.4240060349185376e-05,0.12512411703268533,1.0,250,1750,965.8210820653347,111.82338210096216,27955.84552524054,195690.9186766838,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",C,From 0 to 9 persons employed,0.001169623909791814,0.10112097136086018,1.0,0,9,25534.491165887805,186.2440828402367,186.2440828402367,1676.1967455621302,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",C,From 10 to 19 persons employed,0.00020783917640627617,0.10112097136086018,1.0,10,19,4537.413752781509,186.2440828402367,1862.440828402367,3538.6375739644973,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",C,From 20 to 49 persons employed,0.00012869123354863825,0.10112097136086018,1.0,20,49,2809.505806665501,186.2440828402367,3724.881656804734,9125.960059171599,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",C,From 50 to 249 persons employed,6.152658371258301e-05,0.10112097136086018,1.0,50,249,1343.2095523387895,186.2440828402367,9312.204142011835,46374.77662721894,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",C,250 persons employed or more,2.054582161349247e-05,0.10112097136086018,1.0,250,1750,448.54341305232947,186.2440828402367,46561.02071005917,325927.1449704142,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",I,From 0 to 9 persons employed,0.0008873202176305691,0.10112097136086018,1.0,0,9,19371.41509225326,186.2440828402367,186.2440828402367,1676.1967455621302,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",I,From 10 to 19 persons employed,0.00015767453255448658,0.10112097136086018,1.0,10,19,3442.250902099509,186.2440828402367,1862.440828402367,3538.6375739644973,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",I,From 20 to 49 persons employed,9.76299581459901e-05,0.10112097136086018,1.0,20,49,2131.3956417396657,186.2440828402367,3724.881656804734,9125.960059171599,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",I,From 50 to 249 persons employed,4.6676355701066297e-05,0.10112097136086018,1.0,50,249,1019.008744885232,186.2440828402367,9312.204142011835,46374.77662721894,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",I,250 persons employed or more,1.5586824750126686e-05,0.10112097136086018,1.0,250,1750,340.2817226583485,186.2440828402367,46561.02071005917,325927.1449704142,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",Int,From 0 to 9 persons employed,0.0017721027969815676,0.10112097136086018,1.0,0,9,38687.430066836685,186.2440828402367,186.2440828402367,1676.1967455621302,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",Int,From 10 to 19 persons employed,0.00031489813327898266,0.10112097136086018,1.0,10,19,6874.657345024651,186.2440828402367,1862.440828402367,3538.6375739644973,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",Int,From 20 to 49 persons employed,0.0001949807053441155,0.10112097136086018,1.0,20,49,4256.695726247657,186.2440828402367,3724.881656804734,9125.960059171599,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",Int,From 50 to 249 persons employed,9.32192221559457e-05,0.10112097136086018,1.0,50,249,2035.1032367794262,186.2440828402367,9312.204142011835,46374.77662721894,0.15,42663.13644651836
20,"Motor vehicles, trailers and semi-trailers",Int,250 persons employed or more,3.11290728949231e-05,0.10112097136086018,1.0,250,1750,679.5902769969645,186.2440828402367,46561.02071005917,325927.1449704142,0.15,42663.13644651836
21,Other transport equipment,C,From 0 to 9 persons employed,0.0001194374883012356,0.02718937898894872,1.0,0,9,2607.4838795374576,186.2440828402367,186.2440828402367,1676.1967455621302,0.15,42663.13644651836
21,Other transport equipment,C,From 10 to 19 persons employed,2.1223736102472067e-05,0.02718937898894872,1.0,10,19,463.34321441168953,186.2440828402367,1862.440828402367,3538.6375739644973,0.15,42663.13644651836
21,Other transport equipment,C,From 20 to 49 persons employed,1.3141453054061567e-05,0.02718937898894872,1.0,20,49,286.895910819395,186.2440828402367,3724.881656804734,9125.960059171599,0.15,42663.13644651836
21,Other transport equipment,C,From 50 to 249 persons employed,6.282857729622362e-06,0.02718937898894872,1.0,50,249,137.163385469888,186.2440828402367,9312.204142011835,46374.77662721894,0.15,42663.13644651836
21,Other transport equipment,C,250 persons employed or more,2.098060161097055e-06,0.02718937898894872,1.0,250,1750,45.80352556110925,186.2440828402367,46561.02071005917,325927.1449704142,0.15,42663.13644651836
21,Other transport equipment,I,From 0 to 9 persons employed,0.0004891054129785021,0.02718937898894872,1.0,0,9,10677.840750631069,186.2440828402367,186.2440828402367,1676.1967455621302,0.15,42663.13644651836
21,Other transport equipment,I,From 10 to 19 persons employed,8.691278055986175e-05,0.02718937898894872,1.0,10,19,1897.4249832183684,186.2440828402367,1862.440828402367,3538.6375739644973,0.15,42663.13644651836
21,Other transport equipment,I,From 20 to 49 persons employed,5.3815229326769806e-05,0.02718937898894872,1.0,20,49,1174.8601292523333,186.2440828402367,3724.881656804734,9125.960059171599,0.15,42663.13644651836
21,Other transport equipment,I,From 50 to 249 persons employed,2.5728770491068074e-05,0.02718937898894872,1.0,50,249,561.6942825068184,186.2440828402367,9312.204142011835,46374.77662721894,0.15,42663.13644651836
21,Other transport equipment,I,250 persons employed or more,8.591712670304885e-06,0.02718937898894872,1.0,250,1750,187.5688496474013,186.2440828402367,46561.02071005917,325927.1449704142,0.15,42663.13644651836
21,Other transport equipment,Int,From 0 to 9 persons employed,0.0004210101834366144,0.02718937898894872,1.0,0,9,9191.228667362417,186.2440828402367,186.2440828402367,1676.1967455621302,0.15,42663.13644651836
21,Other transport equipment,Int,From 10 to 19 persons employed,7.481243248498237e-05,0.02718937898894872,1.0,10,19,1633.257819367237,186.2440828402367,1862.440828402367,3538.6375739644973,0.15,42663.13644651836
21,Other transport equipment,Int,From 20 to 49 persons employed,4.6322855910700525e-05,0.02718937898894872,1.0,20,49,1011.2913605203343,186.2440828402367,3724.881656804734,9125.960059171599,0.15,42663.13644651836
21,Other transport equipment,Int,From 50 to 249 persons employed,2.21467072263198e-05,0.02718937898894872,1.0,50,249,483.49293759275406,186.2440828402367,9312.204142011835,46374.77662721894,0.15,42663.13644651836
21,Other transport equipment,Int,250 persons employed or more,7.395539757640615e-06,0.02718937898894872,1.0,250,1750,161.45475740322283,186.2440828402367,46561.02071005917,325927.1449704142,0.15,42663.13644651836
22,Furniture and other manufactured goods,C,From 0 to 9 persons employed,0.0007861746585369817,0.04658677974573148,1.0,0,9,17163.269068969847,68.96659986639946,68.96659986639946,620.6993987975952,0.15,42663.13644651836
22,Furniture and other manufactured goods,C,From 10 to 19 persons employed,0.00013970122547417448,0.04658677974573148,1.0,10,19,3049.869003078903,68.96659986639946,689.6659986639946,1310.3653974615897,0.15,42663.13644651836
22,Furniture and other manufactured goods,C,From 20 to 49 persons employed,8.650112719550339e-05,0.04658677974573148,1.0,20,49,1888.4380267209697,68.96659986639946,1379.3319973279893,3379.3633934535737,0.15,42663.13644651836
22,Furniture and other manufactured goods,C,From 50 to 249 persons employed,4.135572172921521e-05,0.04658677974573148,1.0,50,249,902.8520213318153,68.96659986639946,3448.3299933199733,17172.683366733465,0.15,42663.13644651836
22,Furniture and other manufactured goods,C,250 persons employed or more,1.3810083870655695e-05,0.04658677974573148,1.0,250,1750,301.49303690123276,68.96659986639946,17241.649966599867,120691.54976619907,0.15,42663.13644651836
22,Furniture and other manufactured goods,I,From 0 to 9 persons employed,0.0003534724884527129,0.04658677974573148,1.0,0,9,7716.788326759415,68.96659986639946,68.96659986639946,620.6993987975952,0.15,42663.13644651836
22,Furniture and other manufactured goods,I,From 10 to 19 persons employed,6.281115687466173e-05,0.04658677974573148,1.0,10,19,1371.253543047627,68.96659986639946,689.6659986639946,1310.3653974615897,0.15,42663.13644651836
22,Furniture and other manufactured goods,I,From 20 to 49 persons employed,3.8891826837383274e-05,0.04658677974573148,1.0,20,49,849.0618227710172,68.96659986639946,1379.3319973279893,3379.3633934535737,0.15,42663.13644651836
22,Furniture and other manufactured goods,I,From 50 to 249 persons employed,1.8593972360527304e-05,0.04658677974573148,1.0,50,249,405.9318717784726,68.96659986639946,3448.3299933199733,17172.683366733465,0.15,42663.13644651836
22,Furniture and other manufactured goods,I,250 persons employed or more,6.2091605961777714e-06,0.04658677974573148,1.0,250,1750,135.55447615541692,68.96659986639946,17241.649966599867,120691.54976619907,0.15,42663.13644651836
22,Furniture and other manufactured goods,Int,From 0 to 9 persons employed,0.0006244079575316029,0.04658677974573148,1.0,0,9,13631.680527408753,68.96659986639946,68.96659986639946,620.6993987975952,0.15,42663.13644651836
22,Furniture and other manufactured goods,Int,From 10 to 19 persons employed,0.0001109556965691586,0.04658677974573148,1.0,10,19,2422.3147544533354,68.96659986639946,689.6659986639946,1310.3653974615897,0.15,42663.13644651836
22,Furniture and other manufactured goods,Int,From 20 to 49 persons employed,6.870228080976096e-05,0.04658677974573148,1.0,20,49,1499.8648434995105,68.96659986639946,1379.3319973279893,3379.3633934535737,0.15,42663.13644651836
22,Furniture and other manufactured goods,Int,From 50 to 249 persons employed,3.284618940177895e-05,0.04658677974573148,1.0,50,249,717.0772810741256,68.96659986639946,3448.3299933199733,17172.683366733465,0.15,42663.13644651836
22,Furniture and other manufactured goods,Int,250 persons employed or more,1.0968461231074676e-05,0.04658677974573148,1.0,250,1750,239.45652449778552,68.96659986639946,17241.649966599867,120691.54976619907,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,C,From 0 to 9 persons employed,1.480259221583151e-05,0.045973482487126634,1.0,0,9,323.1608528203454,68.96659986639946,68.96659986639946,620.6993987975952,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,C,From 10 to 19 persons employed,2.6303827658276794e-06,0.045973482487126634,1.0,10,19,57.42485677202466,68.96659986639946,689.6659986639946,1310.3653974615897,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,C,From 20 to 49 persons employed,1.628697768594607e-06,0.045973482487126634,1.0,20,49,35.556701975665476,68.96659986639946,1379.3319973279893,3379.3633934535737,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,C,From 50 to 249 persons employed,7.786716067498103e-07,0.045973482487126634,1.0,50,249,16.999467176777998,68.96659986639946,3448.3299933199733,17172.683366733465,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,C,250 persons employed or more,2.6002496745973665e-07,0.045973482487126634,1.0,250,1750,5.676701013826503,68.96659986639946,17241.649966599867,120691.54976619907,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,I,From 0 to 9 persons employed,0.0005126024391964305,0.045973482487126634,1.0,0,9,11190.813000397338,68.96659986639946,68.96659986639946,620.6993987975952,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,I,From 10 to 19 persons employed,9.108814200403758e-05,0.045973482487126634,1.0,10,19,1988.5788396145438,68.96659986639946,689.6659986639946,1310.3653974615897,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,I,From 20 to 49 persons employed,5.640055719446714e-05,0.045973482487126634,1.0,20,49,1231.301375918017,68.96659986639946,1379.3319973279893,3379.3633934535737,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,I,From 50 to 249 persons employed,2.696480178154627e-05,0.045973482487126634,1.0,50,249,588.678537704794,68.96659986639946,3448.3299933199733,17172.683366733465,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,I,250 persons employed or more,9.004465611724358e-06,0.045973482487126634,1.0,250,1750,196.5798114173652,68.96659986639946,17241.649966599867,120691.54976619907,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,Int,From 0 to 9 persons employed,0.001213426957763101,0.045973482487126634,1.0,0,9,26490.77166947367,68.96659986639946,68.96659986639946,620.6993987975952,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,Int,From 10 to 19 persons employed,0.0002156228659651339,0.045973482487126634,1.0,10,19,4707.342351722379,68.96659986639946,689.6659986639946,1310.3653974615897,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,Int,From 20 to 49 persons employed,0.00013351078984312134,0.045973482487126634,1.0,20,49,2914.723318546634,68.96659986639946,1379.3319973279893,3379.3633934535737,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,Int,From 50 to 249 persons employed,6.383078754708854e-05,0.045973482487126634,1.0,50,249,1393.5134765010948,68.96659986639946,3448.3299933199733,17172.683366733465,0.15,42663.13644651836
23,Repair and installation services of machinery and equipment,Int,250 persons employed or more,2.131527374439624e-05,0.045973482487126634,1.0,250,1750,465.34160644992596,68.96659986639946,17241.649966599867,120691.54976619907,0.15,42663.13644651836
24,"Electricity, gas, steam and air conditioning",C,From 0 to 9 persons employed,0.0004853189209789795,1.0,2.0,0,9,10595.176446573942,813.8351210542446,813.8351210542446,7324.516089488201,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",C,From 10 to 19 persons employed,2.0802042110973778e-05,1.0,2.0,10,19,454.13705727820746,813.8351210542446,8138.351210542446,15462.867300030648,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",C,From 20 to 49 persons employed,1.6034443389258895e-05,1.0,2.0,20,49,350.0538503405216,813.8351210542446,16276.702421084892,39877.92093165799,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",C,From 50 to 249 persons employed,1.0460099917133915e-05,1.0,2.0,50,249,228.35830106781992,813.8351210542446,40691.75605271223,202644.9451425069,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",C,250 persons employed or more,1.1106202045774356e-05,1.0,2.0,250,1750,242.46359504985486,813.8351210542446,203458.78026356114,1424211.461844928,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",I,From 0 to 9 persons employed,4.7658788155524095e-07,1.0,2.0,0,9,10.404565903160758,813.8351210542446,813.8351210542446,7324.516089488201,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",I,From 10 to 19 persons employed,2.0427806856764417e-08,1.0,2.0,10,19,0.44596698935075413,813.8351210542446,8138.351210542446,15462.867300030648,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",I,From 20 to 49 persons employed,1.5745978729593613e-08,1.0,2.0,20,49,0.3437562719119094,813.8351210542446,16276.702421084892,39877.92093165799,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",I,From 50 to 249 persons employed,1.0271919442800633e-08,1.0,2.0,50,249,0.224250063694055,813.8351210542446,40691.75605271223,202644.9451425069,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",I,250 persons employed or more,1.0906397991743127e-08,1.0,2.0,250,1750,0.23810159901860317,813.8351210542446,203458.78026356114,1424211.461844928,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",Int,From 0 to 9 persons employed,0.0014712558840736924,1.0,2.0,0,9,32119.530098634,813.8351210542446,813.8351210542446,7324.516089488201,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",Int,From 10 to 19 persons employed,6.306188679967929e-05,1.0,2.0,10,19,1376.7273205600277,813.8351210542446,8138.351210542446,15462.867300030648,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",Int,From 20 to 49 persons employed,4.860879756492216e-05,1.0,2.0,20,49,1061.196596286117,813.8351210542446,16276.702421084892,39877.92093165799,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",Int,From 50 to 249 persons employed,3.171004237798628e-05,1.0,2.0,50,249,692.2736361594559,813.8351210542446,40691.75605271223,202644.9451425069,0.15,71886.08915302886
24,"Electricity, gas, steam and air conditioning",Int,250 persons employed or more,3.366871639085453e-05,1.0,2.0,250,1750,735.0341712850935,813.8351210542446,203458.78026356114,1424211.461844928,0.15,71886.08915302886
25,Natural water; water treatment and supply services,C,From 0 to 9 persons employed,0.00012664476285997926,0.20467371416954666,3.0,0,9,2764.828549913703,813.8351210542446,813.8351210542446,7324.516089488201,0.15,87121.25340599455
25,Natural water; water treatment and supply services,C,From 10 to 19 persons employed,2.346480423550825e-05,0.20467371416954666,3.0,10,19,512.2687997781435,813.8351210542446,8138.351210542446,15462.867300030648,0.15,87121.25340599455
25,Natural water; water treatment and supply services,C,From 20 to 49 persons employed,1.8491285946460306e-05,0.20467371416954666,3.0,20,49,403.6900867816892,813.8351210542446,16276.702421084892,39877.92093165799,0.15,87121.25340599455
25,Natural water; water treatment and supply services,C,From 50 to 249 persons employed,1.0525808923369713e-05,0.20467371416954666,3.0,50,249,229.79281862957694,813.8351210542446,40691.75605271223,202644.9451425069,0.15,87121.25340599455
25,Natural water; water treatment and supply services,C,250 persons employed or more,0.0,0.20467371416954666,3.0,250,1750,0.0,813.8351210542446,203458.78026356114,1424211.461844928,0.15,87121.25340599455
25,Natural water; water treatment and supply services,I,From 0 to 9 persons employed,4.6128354212791274e-08,0.20467371416954666,3.0,0,9,1.0070451221821508,813.8351210542446,813.8351210542446,7324.516089488201,0.15,87121.25340599455
25,Natural water; water treatment and supply services,I,From 10 to 19 persons employed,8.546684259703993e-09,0.20467371416954666,3.0,10,19,0.1865858178000897,813.8351210542446,8138.351210542446,15462.867300030648,0.15,87121.25340599455
25,Natural water; water treatment and supply services,I,From 20 to 49 persons employed,6.7351587916145605e-09,0.20467371416954666,3.0,20,49,0.14703773685333157,813.8351210542446,16276.702421084892,39877.92093165799,0.15,87121.25340599455
25,Natural water; water treatment and supply services,I,From 50 to 249 persons employed,3.8338596198421344e-09,0.20467371416954666,3.0,50,249,0.08369840405497336,813.8351210542446,40691.75605271223,202644.9451425069,0.15,87121.25340599455
25,Natural water; water treatment and supply services,I,250 persons employed or more,0.0,0.20467371416954666,3.0,250,1750,0.0,813.8351210542446,203458.78026356114,1424211.461844928,0.15,87121.25340599455
25,Natural water; water treatment and supply services,Int,From 0 to 9 persons employed,0.00015248209044779938,0.20467371416954666,3.0,0,9,3328.8927824572834,813.8351210542446,813.8351210542446,7324.516089488201,0.15,87121.25340599455
25,Natural water; water treatment and supply services,Int,From 10 to 19 persons employed,2.8251957056720422e-05,0.20467371416954666,3.0,10,19,616.7788994774174,813.8351210542446,8138.351210542446,15462.867300030648,0.15,87121.25340599455
25,Natural water; water treatment and supply services,Int,From 20 to 49 persons employed,2.226377050665468e-05,0.20467371416954666,3.0,20,49,486.04858926209533,813.8351210542446,16276.702421084892,39877.92093165799,0.15,87121.25340599455
25,Natural water; water treatment and supply services,Int,From 50 to 249 persons employed,1.2673223211480356e-05,0.20467371416954666,3.0,50,249,276.6738123491927,813.8351210542446,40691.75605271223,202644.9451425069,0.15,87121.25340599455
25,Natural water; water treatment and supply services,Int,250 persons employed or more,0.0,0.20467371416954666,3.0,250,1750,0.0,813.8351210542446,203458.78026356114,1424211.461844928,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 0 to 9 persons employed,0.00019073268417019523,0.7953262858304534,3.0,0,9,4163.955608479991,813.8351210542446,813.8351210542446,7324.516089488201,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 10 to 19 persons employed,3.533904596050967e-05,0.7953262858304534,3.0,10,19,771.499752471846,813.8351210542446,8138.351210542446,15462.867300030648,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 20 to 49 persons employed,2.7848704697140768e-05,0.7953262858304534,3.0,20,49,607.9753484153133,813.8351210542446,16276.702421084892,39877.92093165799,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 50 to 249 persons employed,1.5852339596833978e-05,0.7953262858304534,3.0,50,249,346.0782752517938,813.8351210542446,40691.75605271223,202644.9451425069,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,250 persons employed or more,0.0,0.7953262858304534,3.0,250,1750,0.0,813.8351210542446,203458.78026356114,1424211.461844928,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 0 to 9 persons employed,1.9937830998424353e-07,0.7953262858304534,3.0,0,9,4.352701455862404,813.8351210542446,813.8351210542446,7324.516089488201,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 10 to 19 persons employed,3.6940911782978735e-08,0.7953262858304534,3.0,10,19,0.8064706763306567,813.8351210542446,8138.351210542446,15462.867300030648,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 20 to 49 persons employed,2.91110446115865e-08,0.7953262858304534,3.0,20,49,0.6355339568910066,813.8351210542446,16276.702421084892,39877.92093165799,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 50 to 249 persons employed,1.6570902317364622e-08,0.7953262858304534,3.0,50,249,0.36176548315334217,813.8351210542446,40691.75605271223,202644.9451425069,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,250 persons employed or more,0.0,0.7953262858304534,3.0,250,1750,0.0,813.8351210542446,203458.78026356114,1424211.461844928,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 0 to 9 persons employed,0.0008938853578238159,0.7953262858304534,3.0,0,9,19514.74109034876,813.8351210542446,813.8351210542446,7324.516089488201,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 10 to 19 persons employed,0.00016561952074965196,0.7953262858304534,3.0,10,19,3615.7008710888085,813.8351210542446,8138.351210542446,15462.867300030648,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 20 to 49 persons employed,0.00013051538319945396,0.7953262858304534,3.0,20,49,2849.32949080368,813.8351210542446,16276.702421084892,39877.92093165799,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 50 to 249 persons employed,7.429337197507379e-05,0.7953262858304534,3.0,50,249,1621.9260178420948,813.8351210542446,40691.75605271223,202644.9451425069,0.15,87121.25340599455
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,250 persons employed or more,0.0,0.7953262858304534,3.0,250,1750,0.0,813.8351210542446,203458.78026356114,1424211.461844928,0.15,87121.25340599455
27,Constructions and construction works,C,From 0 to 9 persons employed,0.001761931190374265,1.0,4.0,0,9,38465.369969669824,37.56889288322193,37.56889288322193,338.1200359489973,0.15,29917.73437855158
27,Constructions and construction works,C,From 10 to 19 persons employed,0.00016834084522124535,1.0,4.0,10,19,3675.1111097968937,37.56889288322193,375.6889288322193,713.8089647812167,0.15,29917.73437855158
27,Constructions and construction works,C,From 20 to 49 persons employed,6.64820377181934e-05,1.0,4.0,20,49,1451.393897297798,37.56889288322193,751.3778576644386,1840.8757512778745,0.15,29917.73437855158
27,Constructions and construction works,C,From 50 to 249 persons employed,1.4414078094491212e-05,1.0,4.0,50,249,314.6790576756545,37.56889288322193,1878.4446441610964,9354.65432792226,0.15,29917.73437855158
27,Constructions and construction works,C,250 persons employed or more,2.1277403777884647e-06,1.0,4.0,250,1750,46.45148532369937,37.56889288322193,9392.223220805481,65745.56254563837,0.15,29917.73437855158
27,Constructions and construction works,I,From 0 to 9 persons employed,0.0396627608712637,1.0,4.0,0,9,865892.3681393192,37.56889288322193,37.56889288322193,338.1200359489973,0.15,29917.73437855158
27,Constructions and construction works,I,From 10 to 19 persons employed,0.0037895138728195094,1.0,4.0,10,19,82730.27568814177,37.56889288322193,375.6889288322193,713.8089647812167,0.15,29917.73437855158
27,Constructions and construction works,I,From 20 to 49 persons employed,0.0014965744284774955,1.0,4.0,20,49,32672.268584056314,37.56889288322193,751.3778576644386,1840.8757512778745,0.15,29917.73437855158
27,Constructions and construction works,I,From 50 to 249 persons employed,0.0003244747216944867,1.0,4.0,50,249,7083.7273804846445,37.56889288322193,1878.4446441610964,9354.65432792226,0.15,29917.73437855158
27,Constructions and construction works,I,250 persons employed or more,4.789747650839294e-05,1.0,4.0,250,1750,1045.6674838235579,37.56889288322193,9392.223220805481,65745.56254563837,0.15,29917.73437855158
27,Constructions and construction works,Int,From 0 to 9 persons employed,0.02437116139837892,1.0,4.0,0,9,532055.8174465662,37.56889288322193,37.56889288322193,338.1200359489973,0.15,29917.73437855158
27,Constructions and construction works,Int,From 10 to 19 persons employed,0.0023285029127357794,1.0,4.0,10,19,50834.4063055096,37.56889288322193,375.6889288322193,713.8089647812167,0.15,29917.73437855158
27,Constructions and construction works,Int,From 20 to 49 persons employed,0.0009195844197406132,1.0,4.0,20,49,20075.78679400821,37.56889288322193,751.3778576644386,1840.8757512778745,0.15,29917.73437855158
27,Constructions and construction works,Int,From 50 to 249 persons employed,0.0001993765849477151,1.0,4.0,50,249,4352.663795953414,37.56889288322193,1878.4446441610964,9354.65432792226,0.15,29917.73437855158
27,Constructions and construction works,Int,250 persons employed or more,2.943106089739827e-05,1.0,4.0,250,1750,642.5203505125728,37.56889288322193,9392.223220805481,65745.56254563837,0.15,29917.73437855158
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,C,From 0 to 9 persons employed,0.005514449061472399,0.1277633364374116,5.0,0,9,120387.97229270762,96.64443025379806,96.64443025379806,869.7998722841826,0.15,29276.22561321313
